city,state,year,month,unemployment_rate
Phoenix,AZ,2000,01,         4.2
Phoenix,AZ,2000,02,         3.9
Phoenix,AZ,2000,03,         4.0
Phoenix,AZ,2000,04,         3.5
Phoenix,AZ,2000,05,         3.6
Phoenix,AZ,2000,06,         4.0
Phoenix,AZ,2000,07,         4.1
Phoenix,AZ,2000,08,         4.3
Phoenix,AZ,2000,09,         3.8
Phoenix,AZ,2000,10,         3.7
Phoenix,AZ,2000,11,         3.5
Phoenix,AZ,2000,12,         3.4
Phoenix,AZ,2001,01,         4.3
Phoenix,AZ,2001,02,         3.9
Phoenix,AZ,2001,03,         4.3
Phoenix,AZ,2001,04,         4.1
Phoenix,AZ,2001,05,         4.1
Phoenix,AZ,2001,06,         5.0
Phoenix,AZ,2001,07,         5.0
Phoenix,AZ,2001,08,         5.8
Phoenix,AZ,2001,09,         5.8
Phoenix,AZ,2001,10,         5.7
Phoenix,AZ,2001,11,         5.8
Phoenix,AZ,2001,12,         5.9
Phoenix,AZ,2002,01,         6.8
Phoenix,AZ,2002,02,         6.4
Phoenix,AZ,2002,03,         6.6
Phoenix,AZ,2002,04,         6.6
Phoenix,AZ,2002,05,         6.4
Phoenix,AZ,2002,06,         6.9
Phoenix,AZ,2002,07,         6.8
Phoenix,AZ,2002,08,         7.0
Phoenix,AZ,2002,09,         6.6
Phoenix,AZ,2002,10,         6.6
Phoenix,AZ,2002,11,         6.4
Phoenix,AZ,2002,12,         6.2
Phoenix,AZ,2003,01,         6.8
Phoenix,AZ,2003,02,         6.4
Phoenix,AZ,2003,03,         6.3
Phoenix,AZ,2003,04,         6.1
Phoenix,AZ,2003,05,         5.9
Phoenix,AZ,2003,06,         6.5
Phoenix,AZ,2003,07,         6.3
Phoenix,AZ,2003,08,         6.5
Phoenix,AZ,2003,09,         6.2
Phoenix,AZ,2003,10,         5.8
Phoenix,AZ,2003,11,         5.5
Phoenix,AZ,2003,12,         5.3
Phoenix,AZ,2004,01,         6.0
Phoenix,AZ,2004,02,         5.5
Phoenix,AZ,2004,03,         5.6
Phoenix,AZ,2004,04,         5.3
Phoenix,AZ,2004,05,         5.0
Phoenix,AZ,2004,06,         5.5
Phoenix,AZ,2004,07,         5.3
Phoenix,AZ,2004,08,         5.4
Phoenix,AZ,2004,09,         5.1
Phoenix,AZ,2004,10,         4.9
Phoenix,AZ,2004,11,         4.8
Phoenix,AZ,2004,12,         4.6
Phoenix,AZ,2005,01,         5.2
Phoenix,AZ,2005,02,         5.0
Phoenix,AZ,2005,03,         5.0
Phoenix,AZ,2005,04,         4.8
Phoenix,AZ,2005,05,         4.5
Phoenix,AZ,2005,06,         4.9
Phoenix,AZ,2005,07,         4.8
Phoenix,AZ,2005,08,         4.9
Phoenix,AZ,2005,09,         4.9
Phoenix,AZ,2005,10,         4.6
Phoenix,AZ,2005,11,         4.6
Phoenix,AZ,2005,12,         4.3
Phoenix,AZ,2006,01,         4.7
Phoenix,AZ,2006,02,         4.6
Phoenix,AZ,2006,03,         4.4
Phoenix,AZ,2006,04,         4.3
Phoenix,AZ,2006,05,         3.9
Phoenix,AZ,2006,06,         4.5
Phoenix,AZ,2006,07,         4.4
Phoenix,AZ,2006,08,         4.4
Phoenix,AZ,2006,09,         4.3
Phoenix,AZ,2006,10,         3.9
Phoenix,AZ,2006,11,         3.8
Phoenix,AZ,2006,12,         3.7
